               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.029384,           0.0084156,           0.0011081,              0.9895,             0.98926,             0.99344,             0.92345,           0.0039486,           0.0012357,          0.00014583,            0.070004,           0.0033329,           0.0033329
                   1,            0.017596,           0.0048397,          0.00022144,             0.99466,             0.99158,             0.99435,              0.9749,           0.0025797,          0.00094727,          6.8751e-05,            0.039604,           0.0062663,           0.0062663
                   2,             0.01444,              0.0044,           0.0001477,             0.99508,             0.99263,             0.99421,             0.97146,            0.002755,          0.00088229,           5.344e-05,           0.0088038,           0.0087996,           0.0087996
                   3,            0.013133,           0.0041408,          0.00013191,             0.99703,             0.99248,              0.9945,             0.97031,           0.0029662,          0.00087172,          3.3868e-05,              0.0082,              0.0082,              0.0082
                   4,            0.012448,           0.0039535,          0.00011817,             0.99753,             0.99255,             0.99442,             0.97574,           0.0025554,          0.00080107,          2.5829e-05,              0.0082,              0.0082,              0.0082
                   5,            0.011927,           0.0038039,          0.00011365,             0.99771,              0.9926,             0.99437,              0.9799,            0.002143,          0.00072685,          2.2892e-05,              0.0076,              0.0076,              0.0076
                   6,             0.01143,           0.0036632,          0.00010589,             0.99774,             0.99275,             0.99452,             0.98231,           0.0019083,          0.00066773,           2.171e-05,               0.007,               0.007,               0.007
                   7,            0.011041,            0.003552,          9.6976e-05,             0.99755,              0.9928,             0.99467,             0.98541,           0.0017645,          0.00064025,          1.9281e-05,              0.0064,              0.0064,              0.0064
                   8,            0.010739,           0.0034508,          9.0713e-05,             0.99779,             0.99385,             0.99491,             0.98774,           0.0016804,          0.00062612,          1.5727e-05,              0.0058,              0.0058,              0.0058
                   9,             0.01037,           0.0033572,          8.6592e-05,             0.99675,             0.99614,             0.99493,             0.98791,           0.0016132,          0.00061213,           1.334e-05,              0.0052,              0.0052,              0.0052
                  10,            0.010028,            0.003252,          8.2275e-05,             0.99688,             0.99516,             0.99493,             0.98788,           0.0015706,          0.00060648,          1.1717e-05,              0.0046,              0.0046,              0.0046
                  11,           0.0096839,           0.0031442,          7.8055e-05,             0.99818,             0.99512,             0.99494,             0.98906,            0.001535,          0.00058317,          1.0536e-05,               0.004,               0.004,               0.004
                  12,            0.009266,           0.0030352,          7.1857e-05,             0.99795,             0.99618,             0.99495,             0.98904,           0.0015136,          0.00054961,           1.005e-05,              0.0034,              0.0034,              0.0034
                  13,           0.0089005,           0.0029166,           7.152e-05,             0.99815,             0.99625,             0.99495,              0.9899,           0.0014776,           0.0005316,          9.7356e-06,              0.0028,              0.0028,              0.0028
                  14,            0.008469,            0.002777,          6.0987e-05,             0.99822,             0.99522,             0.99495,             0.98974,           0.0014409,          0.00051725,          9.4254e-06,              0.0022,              0.0022,              0.0022
