               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.051138,            0.078738,           0.0097469,             0.90088,             0.74168,             0.82746,             0.69521,            0.024563,            0.041347,           0.0045292,            0.070002,           0.0033331,           0.0033331
                   1,            0.038336,            0.059323,           0.0065765,             0.80766,             0.86969,             0.91915,              0.7584,            0.024506,            0.040563,           0.0037446,            0.039602,           0.0062664,           0.0062664
                   2,            0.034893,            0.054147,           0.0059874,             0.85685,             0.87902,             0.93245,             0.77129,            0.023923,            0.041138,           0.0034215,           0.0088023,           0.0087998,           0.0087998
                   3,            0.033125,            0.051074,           0.0057651,              0.8755,             0.90572,             0.94678,             0.84575,             0.02045,            0.034174,           0.0031656,              0.0082,              0.0082,              0.0082
                   4,            0.032477,            0.049239,           0.0056473,             0.88515,             0.92319,             0.95453,             0.87515,            0.018893,            0.030591,           0.0030446,              0.0082,              0.0082,              0.0082
                   5,            0.031935,            0.047705,           0.0055634,             0.89452,             0.93345,             0.95868,             0.88477,            0.018419,            0.028538,             0.00299,              0.0076,              0.0076,              0.0076
                   6,            0.031515,            0.046591,           0.0054993,             0.89748,             0.93802,             0.96098,             0.88977,            0.018206,            0.027422,           0.0029562,               0.007,               0.007,               0.007
                   7,            0.031185,            0.045758,           0.0054538,             0.89673,             0.94106,              0.9629,             0.89321,            0.018034,            0.026582,           0.0029214,              0.0064,              0.0064,              0.0064
                   8,            0.030809,            0.044725,           0.0054036,             0.89816,             0.94254,             0.96429,             0.89597,            0.017878,            0.025582,           0.0028922,              0.0058,              0.0058,              0.0058
                   9,             0.03051,            0.043944,           0.0053603,             0.89963,             0.94413,             0.96546,             0.89773,            0.017733,            0.024693,           0.0028621,              0.0052,              0.0052,              0.0052
                  10,            0.030185,             0.04312,           0.0053122,             0.90218,             0.94562,             0.96764,             0.90117,            0.017596,            0.024068,           0.0028409,              0.0046,              0.0046,              0.0046
                  11,             0.02984,            0.042201,           0.0052628,             0.90489,             0.94747,             0.96873,             0.90353,            0.017476,            0.023569,            0.002817,               0.004,               0.004,               0.004
                  12,            0.029506,            0.041258,           0.0052181,              0.9068,             0.94837,              0.9708,             0.90645,            0.017403,             0.02319,            0.002797,              0.0034,              0.0034,              0.0034
                  13,             0.02909,            0.040206,           0.0051699,             0.90767,             0.94905,              0.9725,             0.90939,            0.017277,            0.022493,           0.0027722,              0.0028,              0.0028,              0.0028
                  14,            0.028709,            0.039086,           0.0051103,              0.9082,             0.95068,             0.97305,             0.91126,            0.017207,            0.022067,           0.0027506,              0.0022,              0.0022,              0.0022
